ID,Year_Birth,Education,Marital_Status,Income,KidsInHome,TeensInHome,CustomerJoinDate,AmmountSpentOnWine,AmmountSpentOnFruit,AmmountSpentOnMeatProducts,AmmountSpentOnFish,AmmountSpentOnSweetProducts,AmmountSpentOnGold,NumberPurchasesWithDiscount,NumberOfWebPurchases,NumberOfCatalogPurchases,NumberOfStorePurchases,NumberOfWebsiteVisits,Accepted3rdCampaignOffer,Accepted4thCampaignOffer,Accepted5thCampaignOffer,Accepted1stCampaignOffer,Accepted2ndCampaignOffer,ComplainedInLast2Years,AcceptedLastCampaignOffer,Age,Revenue,Purchases,AverageOrderValue,MostRecentPurchase,AcceptedAnyCampaignOrDiscount,CustomerComplainedRecently
11,1951,2n Cycle,Married,78497,0,0,1/12/13,207,26,447,75,0,223,1,5,7,8,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,72,HIGH ($250-$100),VERY HIGH (>15),HIGH ($30 - $50),MODERATE (8 weeks),TRUE,FALSE
12,1983,PhD,Married,86580,0,0,2/27/13,487.97,21,127,26,20,20,0,4,2,5,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,40,HIGH ($250-$100),HIGH (10-15),VERY HIGH (>$50),LATE (About a quarter),TRUE,FALSE
13,1979,Graduation,Together,21645,1,0,3/9/12,13.08,0,23,4,5,19,3,3,0,3,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,44,MEDIUM ($50-$250),MEDIUM (5-10),LOW (<=$15),VERY LATE (More than a quarter),TRUE,FALSE
14,1968,PhD,Divorced,42564,0,1,2/1/13,341.55,48,186,39,18,198,6,6,8,4,6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,55,HIGH ($250-$100),VERY HIGH (>15),HIGH ($30 - $50),MODERATE (8 weeks),TRUE,FALSE
15,1952,Graduation,Married,67433,0,3,7/16/13,615,28,259,12,48,30,4,6,5,11,4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,71,HIGH ($250-$100),VERY HIGH (>15),HIGH ($30 - $50),MODERATE (8 weeks),TRUE,FALSE
16,1955,Master,Divorced,46390,0,1,5/5/14,95,14,64,2,9,38,1,4,2,4,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,68,MEDIUM ($50-$250),MEDIUM (5-10),MEDIUM ($15 - $30),MODERATE (8 weeks),TRUE,FALSE
17,1970,Graduation,Divorced,44267,1,1,2/25/13,186.47,5,65,3,5,49,5,5,2,4,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,53,HIGH ($250-$100),HIGH (10-15),MEDIUM ($15 - $30),MODERATE (8 weeks),TRUE,FALSE
18,1967,Graduation,Married,77870,0,1,8/22/12,1017,50,500,65,50,133,3,5,5,5,7,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,56,VERY HIGH (>$1000),HIGH (10-15),VERY HIGH (>$50),VERY LATE (More than a quarter),TRUE,FALSE
19,1977,Graduation,Single,28769,1,0,12/18/12,39.21,5,129,10,3,3,3,4,1,4,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,46,MEDIUM ($50-$250),MEDIUM (5-10),MEDIUM ($15 - $30),VERY LATE (More than a quarter),TRUE,FALSE
20,1975,Graduation,Single,56243,0,0,12/30/13,376.83,0,35,4,3,7,6,4,2,8,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,48,HIGH ($250-$100),HIGH (10-15),HIGH ($30 - $50),MODERATE (8 weeks),TRUE,FALSE
21,1977,Graduation,Married,42014,1,0,8/17/12,239.02,15,108,4,15,50,6,7,1,6,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,46,HIGH ($250-$100),HIGH (10-15),HIGH ($30 - $50),MODERATE (8 weeks),TRUE,FALSE
22,1962,Graduation,Together,72025,0,0,11/17/12,833,33,549,151,133,233,1,4,3,8,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,61,VERY HIGH (>$1000),HIGH (10-15),VERY HIGH (>$50),MODERATE (8 weeks),TRUE,FALSE
23,1968,Graduation,Widow,73455,0,0,10/28/13,1012.68,61,757,186,163,20,1,6,5,10,3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,55,VERY HIGH (>$1000),VERY HIGH (>15),VERY HIGH (>$50),VERY LATE (More than a quarter),TRUE,FALSE
24,1974,Graduation,Single,32233,1,0,8/19/12,132.01,15,35,25,11,72,2,6,2,2,7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,49,HIGH ($250-$100),MEDIUM (5-10),MEDIUM ($15 - $30),MODERATE (8 weeks),TRUE,FALSE
25,1972,Graduation,Single,72504,0,1,6/4/13,681.87,26,470,123,161,94,2,5,9,6,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,51,VERY HIGH (>$1000),VERY HIGH (>15),VERY HIGH (>$50),MODERATE (8 weeks),TRUE,FALSE
26,1981,Graduation,Married,40211,0,0,7/30/13,45.03,1,7,2,1,25,2,2,1,2,7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,42,MEDIUM ($50-$250),LOW (<=5),MEDIUM ($15 - $30),MODERATE (8 weeks),TRUE,FALSE
27,1961,Graduation,Married,60544,1,1,8/25/12,201,2,43,3,5,35,4,5,1,7,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,62,HIGH ($250-$100),HIGH (10-15),MEDIUM ($15 - $30),VERY LATE (More than a quarter),TRUE,FALSE
28,1983,Master,Married,36262,0,0,9/20/13,81.59,39,54,64,28,153,1,3,5,3,7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,40,HIGH ($250-$100),HIGH (10-15),HIGH ($30 - $50),MODERATE (8 weeks),TRUE,FALSE
29,1959,Master,Together,82576,0,0,1/8/12,1206,55,445,168,18,18,1,2,4,11,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,64,VERY HIGH (>$1000),VERY HIGH (>15),VERY HIGH (>$50),LATE (About a quarter),TRUE,FALSE
30,1954,Graduation,Divorced,76773,0,0,2/25/13,516,56,449,86,33,16,1,2,2,10,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,69,VERY HIGH (>$1000),HIGH (10-15),VERY HIGH (>$50),VERY LATE (More than a quarter),TRUE,FALSE
31,1951,Basic,Married,26997,0,0,5/11/12,7,23,78,133,49,144,2,4,2,4,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,72,HIGH ($250-$100),MEDIUM (5-10),HIGH ($30 - $50),VERY LATE (More than a quarter),TRUE,FALSE
32,1963,PhD,Divorced,48799,0,1,5/11/13,174,18,81,28,6,24,3,3,2,10,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,60,HIGH ($250-$100),HIGH (10-15),MEDIUM ($15 - $30),RECENT (<=3 weeks),TRUE,FALSE
33,1983,Master,Single,89616,0,0,2/25/13,478.72,47,655,145,111,15,1,7,5,12,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,40,VERY HIGH (>$1000),VERY HIGH (>15),VERY HIGH (>$50),MODERATE (8 weeks),TRUE,FALSE
34,1970,Graduation,Single,24163,1,1,12/10/13,3.83,1,7,2,1,2,2,1,0,3,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,53,LOW (<=$50),LOW (<=5),LOW (<=$15),RECENT (<=3 weeks),TRUE,FALSE
35,1944,Master,Married,80184,0,0,1/3/14,1035,134,670,25,38,0,1,6,3,10,3,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,79,VERY HIGH (>$1000),VERY HIGH (>15),VERY HIGH (>$50),RECENT (<=3 weeks),TRUE,FALSE
36,1960,2n Cycle,Single,47823,0,0,7/23/13,53,1,5,2,1,10,2,2,0,3,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,63,MEDIUM ($50-$250),LOW (<=5),LOW (<=$15),RECENT (<=3 weeks),TRUE,FALSE
37,1959,Master,Married,77520,0,1,8/28/13,940,44,396,0,88,58,1,8,7,8,6,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,64,VERY HIGH (>$1000),VERY HIGH (>15),VERY HIGH (>$50),MODERATE (8 weeks),TRUE,FALSE
38,1957,Graduation,Married,55267,0,1,10/21/13,161,28,136,32,3,45,4,3,4,5,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,66,HIGH ($250-$100),HIGH (10-15),HIGH ($30 - $50),MODERATE (8 weeks),TRUE,FALSE
39,1957,Graduation,Together,42213,0,0,12/10/13,309,3,24,4,3,20,2,5,1,7,6,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,66,HIGH ($250-$100),HIGH (10-15),MEDIUM ($15 - $30),VERY LATE (More than a quarter),TRUE,FALSE
40,1951,Graduation,Together,40689,0,1,3/18/13,270,3,27,39,6,99,7,7,1,6,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,72,HIGH ($250-$100),HIGH (10-15),HIGH ($30 - $50),LATE (About a quarter),TRUE,FALSE
41,1971,Master,Together,80573,0,0,10/14/12,955.9,138,430,60,92,15,1,4,6,13,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,52,VERY HIGH (>$1000),VERY HIGH (>15),VERY HIGH (>$50),VERY LATE (More than a quarter),TRUE,FALSE
42,1951,Graduation,Widow,70792,0,0,6/2/13,344,45,654,104,11,114,2,3,4,7,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,72,VERY HIGH (>$1000),HIGH (10-15),VERY HIGH (>$50),VERY LATE (More than a quarter),TRUE,FALSE
43,1983,Graduation,Married,69520,0,0,7/7/13,591.47,120,414,121,80,93,1,9,6,5,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,40,VERY HIGH (>$1000),VERY HIGH (>15),VERY HIGH (>$50),VERY LATE (More than a quarter),TRUE,FALSE
44,1968,Graduation,Married,19514,1,1,1/26/14,10.95,3,21,2,1,28,4,3,1,2,7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,55,MEDIUM ($50-$250),MEDIUM (5-10),LOW (<=$15),MODERATE (8 weeks),TRUE,FALSE
45,1971,Graduation,Divorced,43300,0,1,10/13/12,108.45,3,52,2,1,31,3,4,0,4,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,52,MEDIUM ($50-$250),MEDIUM (5-10),MEDIUM ($15 - $30),VERY LATE (More than a quarter),TRUE,FALSE
46,1970,Graduation,Single,76467,0,0,8/17/12,555.95,161,426,210,44,58,2,2,5,5,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,53,VERY HIGH (>$1000),HIGH (10-15),VERY HIGH (>$50),MODERATE (8 weeks),TRUE,FALSE
47,1955,PhD,Together,46015,1,1,4/13/14,38,0,2,0,0,6,1,1,0,2,6,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,68,LOW (<=$50),LOW (<=5),MEDIUM ($15 - $30),MODERATE (8 weeks),TRUE,FALSE
48,1985,Graduation,Single,29938,1,0,10/27/13,3.05,3,7,0,2,11,2,1,0,3,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,38,LOW (<=$50),LOW (<=5),LOW (<=$15),MODERATE (8 weeks),TRUE,FALSE
49,1986,Graduation,Single,39146,1,0,2/14/13,82.05,1,33,13,12,12,3,4,0,4,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,37,MEDIUM ($50-$250),MEDIUM (5-10),MEDIUM ($15 - $30),RECENT (<=3 weeks),TRUE,FALSE
50,1986,Basic,Married,20425,1,0,10/29/12,2.67,12,5,3,16,17,2,2,0,3,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,37,MEDIUM ($50-$250),LOW (<=5),LOW (<=$15),RECENT (<=3 weeks),TRUE,FALSE
51,1974,2n Cycle,Married,20130,0,0,3/17/14,0,6,3,7,6,12,1,1,0,3,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,49,LOW (<=$50),LOW (<=5),LOW (<=$15),VERY LATE (More than a quarter),TRUE,FALSE
52,1946,Graduation,Together,37760,0,0,8/31/12,84,5,38,150,12,28,2,4,1,5,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,77,HIGH ($250-$100),MEDIUM (5-10),HIGH ($30 - $50),RECENT (<=3 weeks),TRUE,FALSE
53,1974,PhD,Divorced,25509,0,0,9/18/12,49.04,3,30,10,7,11,3,3,0,3,12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,49,MEDIUM ($50-$250),MEDIUM (5-10),MEDIUM ($15 - $30),RECENT (<=3 weeks),TRUE,FALSE
54,1969,Graduation,Together,68695,0,0,6/25/14,351.54,81,356,106,50,40,1,4,4,7,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,54,HIGH ($250-$100),HIGH (10-15),VERY HIGH (>$50),RECENT (<=3 weeks),TRUE,FALSE
55,1984,Graduation,Together,16529,1,0,1/3/14,2.93,0,5,13,0,1,1,1,0,3,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,39,LOW (<=$50),LOW (<=5),LOW (<=$15),MODERATE (8 weeks),TRUE,FALSE
56,1988,Graduation,Married,24645,0,0,1/11/12,5.97,3,4,4,1,0,1,1,0,2,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,35,LOW (<=$50),LOW (<=5),LOW (<=$15),RECENT (<=3 weeks),TRUE,FALSE
57,1960,Graduation,Married,31454,1,1,6/7/13,28,0,11,0,0,9,3,2,0,3,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,63,LOW (<=$50),LOW (<=5),LOW (<=$15),MODERATE (8 weeks),TRUE,FALSE
58,1966,Graduation,Divorced,70287,0,0,2/4/13,295,35,482,121,120,40,1,5,5,11,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,57,VERY HIGH (>$1000),VERY HIGH (>15),VERY HIGH (>$50),MODERATE (8 weeks),TRUE,FALSE
59,1964,Graduation,Divorced,51983,0,1,8/31/12,631,0,115,10,7,30,3,9,2,10,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,59,HIGH ($250-$100),VERY HIGH (>15),HIGH ($30 - $50),VERY LATE (More than a quarter),TRUE,FALSE
60,1977,Graduation,Married,54233,0,1,4/2/13,734.22,8,158,21,0,142,4,11,6,5,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,46,VERY HIGH (>$1000),VERY HIGH (>15),HIGH ($30 - $50),MODERATE (8 weeks),TRUE,FALSE
61,1960,Graduation,Married,51651,0,0,7/11/12,293,6,23,13,6,92,4,6,2,3,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,63,HIGH ($250-$100),HIGH (10-15),HIGH ($30 - $50),MODERATE (8 weeks),TRUE,FALSE
62,1954,Graduation,Together,77972,0,0,3/18/14,613,22,319,33,102,12,1,4,6,10,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,69,VERY HIGH (>$1000),VERY HIGH (>15),VERY HIGH (>$50),RECENT (<=3 weeks),TRUE,FALSE
63,1951,Graduation,Divorced,43185,0,1,10/4/13,537,6,42,16,6,30,2,9,3,7,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,72,HIGH ($250-$100),VERY HIGH (>15),HIGH ($30 - $50),VERY LATE (More than a quarter),TRUE,FALSE
64,1964,PhD,Divorced,64140,0,2,9/23/13,1459,0,61,0,15,215,5,2,5,6,4,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,59,VERY HIGH (>$1000),HIGH (10-15),VERY HIGH (>$50),LATE (About a quarter),TRUE,FALSE
65,1979,Graduation,Together,77298,0,1,2/11/13,580.5,115,292,23,35,79,1,6,6,11,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,44,VERY HIGH (>$1000),VERY HIGH (>15),HIGH ($30 - $50),MODERATE (8 weeks),TRUE,FALSE
66,1991,PhD,Single,74873,0,0,10/11/12,1332,17,311,23,51,86,1,7,4,5,8,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,32,VERY HIGH (>$1000),VERY HIGH (>15),VERY HIGH (>$50),MODERATE (8 weeks),TRUE,FALSE
67,1956,Graduation,Married,90369,0,0,4/28/14,292,51,981,224,23,17,1,4,6,7,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,67,VERY HIGH (>$1000),VERY HIGH (>15),VERY HIGH (>$50),RECENT (<=3 weeks),TRUE,FALSE
68,1969,Master,Married,43641,1,1,4/22/13,70.01,2,51,4,2,23,3,2,1,4,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,54,MEDIUM ($50-$250),MEDIUM (5-10),MEDIUM ($15 - $30),MODERATE (8 weeks),TRUE,FALSE
69,1963,Graduation,Divorced,45146,1,1,7/15/13,33,0,5,0,0,15,2,1,1,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,60,MEDIUM ($50-$250),LOW (<=5),MEDIUM ($15 - $30),MODERATE (8 weeks),TRUE,FALSE
70,1973,PhD,Single,54466,1,1,9/2/14,10.28,0,4,0,0,0,1,1,0,2,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,50,LOW (<=$50),LOW (<=5),LOW (<=$15),VERY LATE (More than a quarter),TRUE,FALSE
71,1973,Master,Married,38961,1,0,12/30/13,17.21,7,19,0,1,24,1,2,1,2,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,50,MEDIUM ($50-$250),LOW (<=5),LOW (<=$15),LATE (About a quarter),TRUE,FALSE
72,1977,Graduation,Married,54809,0,0,11/9/13,67.94,6,57,13,13,22,4,2,1,5,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,46,MEDIUM ($50-$250),MEDIUM (5-10),MEDIUM ($15 - $30),RECENT (<=3 weeks),TRUE,FALSE
73,1944,Graduation,Married,55956,0,0,7/4/14,760,38,104,50,9,38,2,7,3,5,4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,79,HIGH ($250-$100),HIGH (10-15),VERY HIGH (>$50),MODERATE (8 weeks),TRUE,FALSE
74,1964,Graduation,Single,18701,1,1,4/6/13,12,4,2,10,6,10,4,2,0,5,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,59,LOW (<=$50),MEDIUM (5-10),LOW (<=$15),VERY LATE (More than a quarter),TRUE,FALSE
75,1956,Graduation,Married,71866,0,1,12/25/13,184,178,178,103,39,33,1,6,3,7,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,67,HIGH ($250-$100),VERY HIGH (>15),HIGH ($30 - $50),VERY LATE (More than a quarter),TRUE,FALSE
76,1962,2n Cycle,Divorced,81975,0,0,5/1/13,983,76,184,180,138,27,1,6,3,4,6,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,61,VERY HIGH (>$1000),HIGH (10-15),VERY HIGH (>$50),RECENT (<=3 weeks),TRUE,FALSE
77,1975,Graduation,Single,73170,0,0,5/31/14,210.22,174,256,50,30,32,1,5,4,6,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,48,HIGH ($250-$100),HIGH (10-15),VERY HIGH (>$50),RECENT (<=3 weeks),TRUE,FALSE
78,1970,Master,Single,75345,0,0,2/2/13,1000.73,57,842,99,38,133,1,5,8,6,3,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,53,VERY HIGH (>$1000),VERY HIGH (>15),VERY HIGH (>$50),RECENT (<=3 weeks),TRUE,FALSE
79,1979,PhD,Married,31605,1,0,11/22/12,89.88,0,42,2,1,6,2,2,1,4,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,44,MEDIUM ($50-$250),MEDIUM (5-10),MEDIUM ($15 - $30),RECENT (<=3 weeks),TRUE,FALSE
80,1952,Graduation,Single,47139,0,0,6/3/14,46,0,12,0,2,23,2,2,1,2,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,71,MEDIUM ($50-$250),LOW (<=5),MEDIUM ($15 - $30),RECENT (<=3 weeks),TRUE,FALSE
81,1972,Graduation,Married,40321,1,1,7/29/13,41.12,4,21,6,0,27,2,3,0,3,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,51,MEDIUM ($50-$250),MEDIUM (5-10),MEDIUM ($15 - $30),LATE (About a quarter),TRUE,FALSE
82,1976,Graduation,Married,74068,0,0,3/19/13,670.96,30,537,140,76,15,1,4,10,9,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,47,VERY HIGH (>$1000),VERY HIGH (>15),VERY HIGH (>$50),RECENT (<=3 weeks),TRUE,FALSE
83,1954,Master,Married,66991,0,0,11/9/12,496,36,460,189,60,12,3,4,8,6,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,69,VERY HIGH (>$1000),VERY HIGH (>15),VERY HIGH (>$50),RECENT (<=3 weeks),TRUE,FALSE
84,1980,Master,Married,69661,0,0,5/13/14,422.58,16,106,32,16,8,1,7,3,12,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,43,HIGH ($250-$100),VERY HIGH (>15),MEDIUM ($15 - $30),VERY LATE (More than a quarter),TRUE,FALSE
85,1964,Graduation,Together,68142,0,1,8/29/12,897,126,196,91,112,37,3,10,4,8,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,59,VERY HIGH (>$1000),VERY HIGH (>15),VERY HIGH (>$50),VERY LATE (More than a quarter),TRUE,FALSE
86,1953,Graduation,Married,75027,0,1,9/1/13,925,64,179,133,12,77,2,9,4,7,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,70,VERY HIGH (>$1000),VERY HIGH (>15),VERY HIGH (>$50),LATE (About a quarter),TRUE,FALSE
87,1972,PhD,Married,29791,1,0,5/15/14,12.24,0,6,0,0,0,2,2,0,3,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,51,LOW (<=$50),LOW (<=5),LOW (<=$15),RECENT (<=3 weeks),TRUE,FALSE
88,1977,Graduation,Married,31353,1,1,12/29/13,7.12,0,10,3,1,7,2,1,1,2,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,46,LOW (<=$50),LOW (<=5),LOW (<=$15),MODERATE (8 weeks),TRUE,FALSE
89,1967,2n Cycle,Together,67309,0,0,1/23/13,515,47,181,149,95,95,15,9,6,7,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,56,VERY HIGH (>$1000),VERY HIGH (>15),HIGH ($30 - $50),VERY LATE (More than a quarter),TRUE,FALSE
90,1980,Graduation,Together,62994,0,0,4/3/14,220.45,12,48,4,12,12,1,6,2,4,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,43,HIGH ($250-$100),HIGH (10-15),MEDIUM ($15 - $30),LATE (About a quarter),TRUE,FALSE
91,1955,2n Cycle,Married,72635,0,0,3/6/13,390,22,323,104,35,107,1,6,8,6,3,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,68,HIGH ($250-$100),VERY HIGH (>15),HIGH ($30 - $50),MODERATE (8 weeks),TRUE,FALSE
92,1976,Master,Married,49681,0,0,4/11/13,404.34,0,26,0,0,21,6,7,1,7,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,47,HIGH ($250-$100),HIGH (10-15),HIGH ($30 - $50),LATE (About a quarter),TRUE,FALSE
93,1990,Graduation,Married,18781,0,0,10/29/13,1,12,9,0,14,7,1,2,0,3,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,33,LOW (<=$50),LOW (<=5),LOW (<=$15),RECENT (<=3 weeks),TRUE,FALSE
